Nome do Buteco,Endereço,Latitude,Longitude,Avaliação,Seg (Abertura),Seg (Fechamento),Ter (Abertura),Ter (Fechamento),Qua (Abertura),Qua (Fechamento),Qui (Abertura),Qui (Fechamento),Sex (Abertura),Sex (Fechamento),Sáb (Abertura),Sáb (Fechamento),Dom (Abertura),Dom (Fechamento)
Geraldin da Cida,"Rua Contria, 1459 | Grajaú, Belo Horizonte - MG",-19942940,-43973595,,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,23:00,11:00:00,19:00:00
Golden Grill,"Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte - MG",-20007601,-44004118,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,00:00,12:00:00,18:00:00
Iracema Bar,"Rua Almandina, 56 | Belo Horizonte - MG",-19919783,-43945775,,,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,00:00,12:00:00,19:00:00
Ivo Grill,"Rua Professor Tristão da Cunha, 183 | Belo Horizonte - MG",-19918901,-43939222,,11:00:00,15:00:00,18:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,23:00,,
Já To Inno,"Rua Benjamim Dias, 379 | Belo Horizonte - MG",-19916891,-44000492,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,01:00:00,18:00,01:00,16:00:00,22:00:00
Juzé Bar,"Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte - MG",-19834015,-43978601,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Köbes Emporium Bar,"Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte - MG",-19905972,-43924843,,,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:30:00,12:00,23:00,12:00:00,18:00:00
Koqueiros Bar,"Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte - MG",-19907998,-43916388,,,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:30:00,14:00,23:30,14:00:00,18:00:00
Lá Ele Bar,"Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte - MG",-19859663,-43959146,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Leo da Quadra,"Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte - MG",-19989050,-44017551,,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Locomotiva’s Bar,"Rua Carmésia, 568 | Santa Inês, Belo Horizonte - MG",-19873255,-43905622,,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,12:00,23:00,12:00:00,20:00:00
Magnífico Quintal,"Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte - MG",-19833595,-44004146,,,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,00:00,12:00:00,18:00:00
Magrelo’s Bar,"Avenida Serrana, 635 | Serrano, Belo Horizonte - MG",-19889370,-44025211,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00,00:00,,
Mamute Bar,"Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte - MG",-19932470,-43931753,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,16:00,00:00,,
Marina’s Bar,"Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte - MG",-19923412,-43945893,,11:30:00,23:00:00,11:30:00,23:00:00,11:30:00,23:00:00,11:30:00,23:00:00,11:30:00,23:00:00,11:30,16:00,,
Mineiros Beer,"Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte - MG",-19866504,-44015248,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,12:00,23:00,,
